Region,Sub-region,Country,Year,Kidnapping,Rate,Robbery,Rate,Serious Assault,Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,Central Asia,Kazakhstan,2005,92,0.597,"15,743",93,"1,647",10.23181818,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,Central Asia,Kazakhstan,2006,84,0.54,"10,734",66.047,"2,474",15.91,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,Central Asia,Kazakhstan,2007,84,0.535,"18,117",109.86,"1,988",12.66,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,Central Asia,Kazakhstan,2008,89,0.561,"20,259",120.935,"1,945",12.26,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,Central Asia,Kazakhstan,2009,120,0.748,"18,832",110.607,"1,621",10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,Central Asia,Kazakhstan,2010,127,0.781,"14,317",82.743,"1,591",9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,Central Asia,Kazakhstan,2011,201,1.219,"12,197",69.412,"1,962",11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,Central Asia,Kazakhstan,2012,81,0.484,"15,743",93.26733333,"1,666",9.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,Central Asia,Kazakhstan,2013,115,0.675,"15,743",93.26733333,"1,361",7.99,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,Central Asia,Kazakhstan,2014,76,0.439,"15,743",93.26733333,957,5.53,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,Central Asia,Kazakhstan,2015,79,0.45,"15,743",93.26733333,900,5.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,Central Asia,Kazakhstan,2017,104.3636364,104.3636364,"15,743","15,743","2,050",11.34,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,Central Asia,Kyrgyzstan,2003,17,0.339,1978.2,35.3514,225,4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,Central Asia,Kyrgyzstan,2004,24,0.476,1978.2,35.3514,213,4.23,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,Central Asia,Kyrgyzstan,2005,24,0.473,1978.2,35.3514,264,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,Central Asia,Kyrgyzstan,2006,13,0.254,1978.2,35.3514,206,4.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,Central Asia,Kyrgyzstan,2007,34,0.656,1978.2,35.3514,343,6.62,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,Central Asia,Kyrgyzstan,2008,25,0.476,1978.2,35.3514,349,6.64,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,Central Asia,Kyrgyzstan,2009,6,0.112,1978.2,35.3514,359,6.73,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,Central Asia,Kyrgyzstan,2010,84,1.549,"2,798",51.605,536,9.89,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,Central Asia,Kyrgyzstan,2011,66,1.196,"2,434",44.11,482,8.74,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,Central Asia,Kyrgyzstan,2012,60,1.067,"2,074",36.891,414,7.36,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,Central Asia,Kyrgyzstan,2013,41,0.715,"1,616",28.198,306,5.34,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,Central Asia,Kyrgyzstan,2014,51,0.873,1978.2,35.3514,380,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,Central Asia,Kyrgyzstan,2015,54,0.906,1978.2,35.3514,359,6.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,Central Asia,Kyrgyzstan,2016,53,0.873,969,15.953,283,4.66,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,Central Asia,Tajikistan,2006,199,2.874,500.6666667,2011.666667,"5,762",83.23,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,Central Asia,Tajikistan,2007,181,2.563,500.6666667,2012.5,"5,730",81.13,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,Central Asia,Tajikistan,2008,188,2.607,500.6666667,2014,"7,396",102.58,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,Central Asia,Tajikistan,2009,155,2.105,500.6666667,#REF!,"9,489",128.84,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,Central Asia,Tajikistan,2010,146,1.94,245,3.255,"5,490",72.94,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,Central Asia,Tajikistan,2011,172,2.234,288,3.741,"3,735",48.52,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,Central Asia,Tajikistan,2014,173.5,2.387166667,969,15.953,6267,86.20666667,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,Central Asia,Uzbekistan,2014,39,0.128,"1,432",4.707,"1,451",4.77,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,Central Asia,Uzbekistan,2015,37,0.12,"1,220",3.944,"1,478",4.78,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,Central Asia,Uzbekistan,2016,24,0.076,"1,052",3.346,"1,505",4.79,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,Central Asia,Uzbekistan,2017,33.33333333,0.108,831,2.6,"1,397",4.37,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,Eastern Asia,Hong Kong,2003,0,0,656.25,9.34875,"7,985",8.665332143,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,Eastern Asia,Hong Kong,2004,1,0.015,656.25,9.34875,"7,754",115.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,Eastern Asia,Hong Kong,2005,0,0,656.25,9.34875,"7,811",115.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,Eastern Asia,Hong Kong,2006,0,0,656.25,9.34875,"8,091",119.51,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,Eastern Asia,Hong Kong,2007,3,0.044,656.25,9.34875,"8,690",127.76,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,Eastern Asia,Hong Kong,2008,0,0,656.25,9.34875,"8,660",126.61,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,Eastern Asia,Hong Kong,2009,0,0,656.25,9.34875,"8,410",122.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,Eastern Asia,Hong Kong,2010,1,0.014,778,11.169,"8,136",117.49,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,Eastern Asia,Hong Kong,2011,0,0,731,10.432,"7,602",109.13,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,Eastern Asia,Hong Kong,2012,0,0,616,8.741,"7,362",105.07,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,Eastern Asia,Hong Kong,2013,1,0.014,500,7.053,"7,332",104.04,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,Eastern Asia,Japan,2003,284,0.222,3225.857143,2.514571429,"58,505",45.69,,,,,,,,,,,,,,,,,,,,,,,,,,,
