Region,Sub-region,Country,Population (2020),Homicide,Kidnapping,Rape,Serious Assault,Robbery
Asia,Central Asia,Kazakhstan,18776707,606,74,1298,2050,9469
Asia,Central Asia,Kyrgyzstan,6524195,138,53,314,283,969
Asia,Central Asia,Tajikistan,9537645,126	,172,36,3735,288
Asia,Central Asia,Turkmenistan,"6,031,200	",203	,127,27,83,
Asia,Central Asia,Uzbekistan,33469203,363	,23,,1397,831
Asia,Eastern Asia,China,1439323776,7525,,33579,79662,
Asia,Eastern Asia,Japan,126476461,334	,228,1289,24365,2332
Asia,Eastern Asia,Hong Kong,"	7,496,981",48,1,112,6623,500
Asia,Eastern Asia,Macau,649342,2,1,,1743,108
Asia,Eastern Asia,Mongolia,"	3,278,290",196,3,342,398,1233
Asia,Eastern Asia,North Korea,25778816,,,,,
Asia,Eastern Asia,Republic of Korea,51269185,309,57,6321,44611,967
Asia,Eastern Asia,Taiwan,"	23,816,775",192	,,,,
Asia,South-eastern Asia,Brunei Darussalam,437479,2,,28,451,
Asia,South-eastern Asia,Cambodia,16718965,268,,,,
Asia,South-eastern Asia,Indonesia,"	273,523,615",1150	,241,,12405,10692
Asia,South-eastern Asia,Malaysia,32365999,627	,,1648,4660,10271
Asia,South-eastern Asia,Myanmar,54409800,1198,3,,4619,179
Asia,South-eastern Asia,Philippines,109581078,6895	,29,5813,,16073
Asia,South-eastern Asia,Singapore,5850342,9,1,118,420,69
Asia,South-eastern Asia,Thailand,69799978,1787,1486,4636,13677,1062
Asia,South-eastern Asia,Timor-Leste,1318445,49,4,,,23
Asia,South-eastern Asia,Vietnam,"	97,338,579",1358,,,,
Asia,Southern Asia,Afghanistan,"	38,928,346",2474	,,,,
Asia,Southern Asia,Bangladesh,164689383,3830	,1119,11682,,
Asia,Southern Asia,Bhutan,771608,9,,,980,17
Asia,Southern Asia,India,1380004385,41651	,65461,22172,334669,36466
Asia,Southern Asia,Iran,83992949,1936,,,,
Asia,Southern Asia,Laos,7275560,,,,,
Asia,Southern Asia,Maldives,540544,3,8,,1289,729
Asia,Southern Asia,Nepal,29136808,627,20,210,66,85
Asia,Southern Asia,Pakistan,220892340,8241	,18363,,27306,12458
Asia,Southern Asia,Sri Lanka,21413249,514,297,1432,3563,3455
Asia,Western Asia,Armenia,2963243,50,35,11,181,229
Asia,Western Asia,Azerbaijan,10139177,219,7,16,369,397
Asia,Western Asia,Bahrain,"1,701,575	",32,0,36,3654,
Asia,Western Asia,Cyprus,1207359,15,36,27,144,117
Asia,Western Asia,Georgia,3989167,89,4,82,228,471
Asia,Western Asia,Iraq,40222493,3339	,,,,
Asia,Western Asia,Israel,8655535,123,265,1243,43069,2746
Asia,Western Asia,Jordan,10203134,133	,34,110,15694,593
Asia,Western Asia,Kuwait,4270571,61	,358,119,686,
Asia,Western Asia,Lebanon,6825445,171	,1005,19,7491,2789
Asia,Western Asia,Oman,5106626,13	,14,183,64,33
Asia,Western Asia,Qatar,2881053,9,6,13,298,
Asia,Western Asia,Saudi Arabia,34813871,419	,590,,1845,3075
Asia,Western Asia,Palestine,5101414,27,12,,347,3734
Asia,Western Asia,Syria,17500658,149,24,156,559,
Asia,Western Asia,Turkey,84339067,2133	,26766,1071,69896,27123
Asia,Western Asia,United Arab Emirates,9890402,44	,67,72,223,1564
Asia,Western Asia,Yemen,29825964,1703	,41,176,25,
